Film,Distributor,Modern,Rank,Money1,Money2,Money3,Year,x,y,isDisney,url
Airport,Universal Pictures,Universal Pictures,51,"$604,808,209 ","$100,489,151 ",66111300,1970,2,15,No,https://image.tmdb.org/t/p/w500/6iOKluJfyiU1SLZbGYrY7Z0i6k0.jpg
American Graffiti,Universal Pictures,Universal Pictures,52,"$601,176,321 ","$115,000,000 ",65714300,1973,4,15,No,https://image.tmdb.org/t/p/w500/1yFdtOV0b9UBUoBNbw0ZcyLbadk.jpg
The Robe,20th Century Fox,Walt Disney Studios,53,"$598,799,584 ","$36,000,000 ",65454500,1953,6,15,Yes,https://image.tmdb.org/t/p/w500/qFYZNGzftIM8dqGMJBToGraAFJp.jpg
Pirates of the Caribbean: Dead Man's Chest,Walt Disney Studios,Walt Disney Studios,54,"$591,242,146 ","$423,315,812 ",64628400,2006,8,15,Yes,https://image.tmdb.org/t/p/w500/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg
Around the World in 80 Days,United Artists,Amazon MGM Studios,55,"$591,123,218 ","$42,000,000 ",64615400,1956,10,15,No,https://image.tmdb.org/t/p/w500/bBiMw6Jtg8tSTcEq8jFV7qk9TRW.jpg
Avatar: The Way of Water,Walt Disney Studios,Walt Disney Studios,56,NA,NA,NA,2022,12,15,Yes,https://image.tmdb.org/t/p/w500/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg
Bambi,Walt Disney Studios,Walt Disney Studios,57,"$582,862,273 ","$102,247,150 ",63712400,1942,14,15,Yes,https://image.tmdb.org/t/p/w500/wV9e2y4myJ4KMFsyFfWYcUOawyK.jpg
Blazing Saddles,Warner Bros. Pictures,Warner Bros. Pictures,58,"$578,536,941 ","$119,616,663 ",63239600,1974,16,15,No,https://image.tmdb.org/t/p/w500/nb1MLEOXVFBKTM4J9GLoksqgDBk.jpg
Batman,Warner Bros. Pictures,Warner Bros. Pictures,59,"$576,091,591 ","$251,409,241 ",62972300,1989,18,15,No,https://image.tmdb.org/t/p/w500/cij4dd21v2Rk2YtUQbV5kW69WB2.jpg
The Bells of St. Mary's,RKO Radio Pictures,Warner Bros. Pictures,60,"$574,013,090 ","$21,333,333 ",62745100,1945,20,15,No,https://image.tmdb.org/t/p/w500/e2REwGOzsD21acHSRcXcXzkQmUi.jpg
The Lord of the Rings: The Return of the King,20th Century Fox,Amazon MGM Studios,61,"$563,900,522 ","$379,427,292 ",61639700,2003,2,12,No,https://image.tmdb.org/t/p/w500/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg
Finding Nemo,Walt Disney Studios,Walt Disney Studios,62,"$563,413,831 ","$380,843,261 ",61586500,2003,4,12,Yes,https://image.tmdb.org/t/p/w500/ggQ6o8X5984OCh3kZi2UIJQJY5y.jpg
The Towering Inferno,20th Century Fox,Walt Disney Studios,63,"$561,485,362 ","$116,000,000 ",61375700,1974,6,12,Yes,https://image.tmdb.org/t/p/w500/mFM1GbrRrT3DWUFFo8koSITFnYe.jpg
Rogue One: A Star Wars Story,Walt Disney Studios,Walt Disney Studios,64,"$552,939,904 ","$533,539,991 ",60441600,2016,8,12,Yes,https://image.tmdb.org/t/p/w500/i0yw1mFbB7sNGHCs7EXZPzFkdA1.jpg
The Lion King,Walt Disney Studios,Walt Disney Studios,65,"$551,852,167 ","$543,638,043 ",60322700,2019,10,12,Yes,https://image.tmdb.org/t/p/w500/dzBtMocZuJbjLOXvrl4zGYigDzh.jpg
Cinderella,Walt Disney Studios,Walt Disney Studios,66,"$551,657,308 ","$93,141,149 ",60301400,1950,12,12,Yes,https://image.tmdb.org/t/p/w500/avz6S9HYWs4O8Oe4PenBFNX4uDi.jpg
Spider-Man 2,Sony Pictures Releasing,Sony Pictures,67,"$550,351,840 ","$373,585,825 ",60158700,2004,14,12,No,https://image.tmdb.org/t/p/w500/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg
My Fair Lady,Warner Bros. Pictures,Warner Bros. Pictures,68,"$549,469,026 ","$72,560,711 ",60062200,1964,16,12,No,https://image.tmdb.org/t/p/w500/bTXVc29lGSNclf94VIZ49W4gGKl.jpg
The Greatest Show on Earth,Paramount Pictures,Paramount Pictures,69,"$548,900,000 ","$36,000,000 ",60000000,1952,18,12,No,https://image.tmdb.org/t/p/w500/cKI0yGPRh1IlvRKKJRoMZruior8.jpg
Barbie,Warner Bros. Pictures,Warner Bros. Pictures,70,NA,NA,NA,2023,20,12,No,https://image.tmdb.org/t/p/w500/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg
National Lampoon's Animal House,Universal Pictures,Universal Pictures,71,"$547,896,428 ","$141,600,000 ",59890300,1978,2,9,No,https://image.tmdb.org/t/p/w500/iCo7xLOXFzmf8bwHU4h7IkfkSF9.jpg
The Passion of the Christ,Newmarket Films,Lionsgate,72,"$546,199,412 ","$370,782,930 ",59704800,2004,4,9,No,https://image.tmdb.org/t/p/w500/v9f9MMrq2nGQrN7cHnQRmEq9lSE.jpg
Star Wars: Episode III - Revenge of the Sith,20th Century Fox,Walt Disney Studios,73,"$542,721,216 ","$380,270,577 ",59324600,2005,6,9,Yes,https://image.tmdb.org/t/p/w500/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg
Back to the Future,Universal Pictures,Universal Pictures,74,"$542,087,236 ","$212,836,762 ",59255300,1985,8,9,No,https://image.tmdb.org/t/p/w500/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg
The Lord of the Rings: The Two Towers,20th Century Fox,Amazon MGM Studios,75,"$528,091,201 ","$342,952,511 ",57725400,2002,10,9,No,https://image.tmdb.org/t/p/w500/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg
The Dark Knight Rises,Warner Bros. Pictures,Warner Bros. Pictures,76,"$526,777,500 ","$448,149,584 ",57581800,2012,12,9,No,https://image.tmdb.org/t/p/w500/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg
The Sixth Sense,Walt Disney Studios,Walt Disney Studios,77,"$526,752,800 ","$293,506,292 ",57579100,1999,14,9,Yes,https://image.tmdb.org/t/p/w500/4AfSDjjCy6T5LA1TMz0Lh2HlpRh.jpg
Superman,Warner Bros. Pictures,Warner Bros. Pictures,78,"$524,967,960 ","$134,478,449 ",57384000,1978,16,9,No,https://image.tmdb.org/t/p/w500/d7px1FQxW4tngdACVRsCSaZq0Xl.jpg
